name, units, cds_name, short_name, paramid, fc, an, note

# Data specification for ERA5 global reanalysis
# source: https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation


#-----------------------------------------------------------
# surface and single level parameters: invariants (in time)
#-----------------------------------------------------------

Significant height of total swell,m,significant_height_of_total_swell,shts,140237,x,x
Mean direction of total swell,degrees,mean_direction_of_total_swell,mdts,140238,x,x
Mean period of total swell,s,mean_period_of_total_swell,mpts,140239,x,x
Mean square slope of waves,dimensionless,mean_square_slope_of_waves,msqs,140244,x,x
 10 metre wind speed,m s**-1,ocean_surface_stress_equivalent_10m_neutral_wind_speed,wind,140245,x,x
10 metre wind direction,degrees,ocean_surface_stress_equivalent_10m_neutral_wind_direction,dwi,140249,x,x
Wave spectral kurtosis,dimensionless,wave_spectral_kurtosis,wsk,140252,x,x
Benjamin-Feir index,dimensionless,benjamin_feir_index,bfi,140253,x,x
Wave spectral peakedness,dimensionless,wave_spectral_peakedness,wsp,140254,x,x
Altimeter wave height,m,Not available from the CDS disks,awh,140246,x,
Altimeter corrected wave height,m,Not available from the CDS disks,acwh,140247,x,
Altimeter range relative correction,~,Not available from the CDS disks,arrc,140248,x,
2D wave spectra (single)1,m**2 s radian**-1,Not available from the CDS disks,2dfd,140251,x,


#---------------------------------------------------------------------------------------
# monthly mean surface and single level and wave parameters: exceptions from Tables 1-7
#---------------------------------------------------------------------------------------

UV visible albedo for direct radiation,(0 - 1),uv_visible_albedo_for_direct_radiation,aluvp,15,x,no mean
UV visible albedo for diffuse radiation,(0 - 1),uv_visible_albedo_for_diffuse_radiation,aluvd,16,x,no mean
Near IR albedo for direct radiation,(0 - 1),near_ir_albedo_for_direct_radiation,alnip,17,x,no mean
Near IR albedo for diffuse radiation,(0 - 1),near_ir_albedo_for_diffuse_radiation,alnid,18,x,no mean
Magnitude of turbulent surface stress1,N m**-2 s,magnitude of turbulent surface stress,magss,48,,x
Mean magnitude of turbulent surface stress2,N m**-2,mean magnitude of turbulent surface stress,mmtss,235025,,x
10 metre wind gust since previous post-processing,m s**-1,10m_wind_gust_since_previous_post_processing,10fg,49,,no mean
Maximum temperature at 2 metres since previous post-processing,K,maximum_2m_temperature_since_previous_post_processing,mx2t,201,,no mean
Minimum temperature at 2 metres since previous post-processing,K,minimum_2m_temperature_since_previous_post_processing,mn2t,202,,no mean
10 metre wind speed3,m s**-1,10m wind speed,10si,207,x,x
Maximum total precipitation rate since previous post-processing,kg m**-2 s**-1,maximum_total_precipitation_rate_since_previous_post_processing,mxtpr,228226,,no mean
Minimum total precipitation rate since previous post-processing,kg m**-2 s**-1,minimum_total_precipitation_rate_since_previous_post_processing,mntpr,228227,,no mean
Altimeter wave height,m,Not available from the CDS disks,awh,140246,no mean,
Altimeter corrected wave height,m,Not available from the CDS disks,acwh,140247,no mean,
Altimeter range relative correction,~,Not available from the CDS disks,arrc,140248,no mean,
2D wave spectra (single),m**2 s radian**-1,Not available from the CDS disks,2dfd,140251,no mean,


#------------------------------------------
# pressure level parameters: instantaneous
#------------------------------------------

Potential vorticity,K m**2 kg**-1 s**-1,potential_vorticity,pv,60,N320 (N160),x,x
Specific rain water content,kg kg**-1,specific_rain_water_content,crwc,75,N320 (N160),x,x
Specific snow water content,kg kg**-1,specific_snow_water_content,cswc,76,N320 (N160),x,x
Geopotential,m**2 s**-2,geopotential,z,129,T639 (T319),x,x
Temperature,K,temperature,t,130,T639 (T319),x,x
U component of wind,m s**-1,u_component_of_wind,u,131,T639 (T319),x,x
V component of wind,m s**-1,v_component_of_wind,v,132,T639 (T319),x,x
